,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
2381,2381,2024-12-30,2014-07-11,,,,f,2,2,t,t,59.3442,18.03496,Entire loft,Entire home/apt,4,,1 bath,2.0,,,1,15,1,1,1125,1125,t,0,0,0,0,2024-12-30,2,0,0,2022-08-13,2022-08-27,4.5,5.0,4.0,5.0,4.5,4.0,4.0,,f,1,1,0,0
2455,2455,2024-12-30,2019-06-16,within an hour,100%,69%,f,1,1,t,f,59.30007,17.98966,Entire loft,Entire home/apt,4,1.0,1 bath,1.0,1.0,"$1,350.00",1,730,1,1,730,730,t,22,52,82,347,2024-12-30,10,10,0,2024-05-20,2024-11-24,4.7,4.7,4.4,4.9,4.8,4.8,4.6,,f,1,1,0,0
2460,2460,2024-12-30,2018-04-09,,,,f,1,1,t,t,59.32665,18.01186,Entire loft,Entire home/apt,2,,1 bath,1.0,,,1,365,1,1,1125,1125,t,0,0,0,0,2024-12-30,15,0,0,2022-11-27,2023-07-30,4.93,5.0,4.6,4.73,5.0,5.0,4.93,,t,1,1,0,0
2512,2512,2024-12-30,2022-11-04,,,100%,f,1,1,t,t,59.365421,17.8022243,Entire guesthouse,Entire home/apt,4,1.5,1.5 baths,1.0,4.0,"$2,000.00",1,7,1,1,1125,1125,t,0,0,0,54,2024-12-30,6,3,0,2023-06-10,2024-08-19,5.0,4.83,4.83,4.83,5.0,5.0,5.0,,f,1,1,0,0
2518,2518,2024-12-30,2014-12-09,,,0%,f,1,2,t,f,59.33765,18.05665,Entire loft,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"$2,250.00",10,60,10,10,60,60,t,27,57,87,87,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
2684,2684,2024-12-30,2023-02-13,within an hour,100%,93%,t,1,1,f,t,59.30458,17.97034,Entire guesthouse,Entire home/apt,4,1.0,1 bath,1.0,4.0,$900.00,2,365,2,2,365,365,t,24,49,75,145,2024-12-30,88,46,1,2023-05-12,2024-12-18,4.94,4.9,4.86,4.95,4.91,4.86,4.9,,f,1,1,0,0
3010,3010,2024-12-30,2023-06-01,,,,f,1,1,t,t,59.379260826632034,17.878163880463372,Entire guesthouse,Entire home/apt,2,,1 bath,1.0,,,1,10,1,1,10,10,t,0,0,0,0,2024-12-30,1,0,0,2023-06-12,2023-06-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
3182,3182,2024-12-30,2023-07-07,,,,f,1,2,t,t,59.28416639082674,17.994576506518616,Entire guesthouse,Entire home/apt,1,,1 bath,1.0,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,2,0,0,2023-08-03,2023-09-20,5.0,5.0,4.5,5.0,5.0,5.0,5.0,,t,1,1,0,0
3229,3229,2024-12-30,2016-08-04,,,,f,1,1,t,t,59.3036918,17.9545311,Entire guesthouse,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,500.00",1,365,1,1,365,365,t,22,52,82,249,2024-12-30,48,36,0,2023-08-16,2024-11-10,5.0,4.96,4.96,5.0,5.0,4.94,4.83,,t,1,1,0,0
3336,3336,2024-12-30,2016-12-07,within an hour,100%,99%,f,1,1,t,t,59.282500575077165,18.039367385208607,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$600.00,1,14,1,1,14,14,t,0,0,0,203,2024-12-30,27,25,0,2023-09-07,2024-11-03,4.63,4.67,4.56,4.85,4.93,4.63,4.59,,f,1,1,0,0
3389,3389,2024-12-30,2017-04-23,within an hour,100%,25%,f,1,2,t,t,59.34766190000001,17.9130753,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$800.00,1,14,1,1,14,14,t,28,58,88,88,2024-12-30,1,0,0,2023-11-02,2023-11-02,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,f,1,1,0,0
3637,3637,2024-12-30,2015-06-25,,,0%,f,1,1,t,f,59.368128283852165,17.81034088032945,Entire guesthouse,Entire home/apt,2,,1 bath,1.0,,,3,365,3,3,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
3824,3824,2024-12-30,2022-06-16,within an hour,100%,100%,t,3,4,t,t,59.34384615338932,18.0515855917968,Entire loft,Entire home/apt,6,2.0,2 baths,3.0,4.0,"$5,300.00",3,365,3,3,365,365,t,23,42,68,210,2024-12-30,12,12,3,2024-08-07,2024-12-23,4.92,5.0,5.0,4.92,4.92,5.0,4.75,,f,3,3,0,0
3849,3849,2024-12-30,2024-02-24,within a few hours,100%,100%,t,1,1,t,t,59.34599876674483,17.91264407336712,Entire guesthouse,Entire home/apt,2,1.0,1 bath,0.0,1.0,$950.00,1,365,1,1,1125,1125,t,26,56,86,86,2024-12-30,18,18,0,2024-04-14,2024-10-14,4.94,4.78,4.94,4.94,5.0,4.78,4.78,,t,1,1,0,0
5041,5041,2024-12-30,2024-02-23,within an hour,100%,100%,f,2,2,t,t,59.37205,17.83722,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$384.00,1,365,1,1,365,365,t,29,59,89,364,2024-12-30,1,1,1,2024-12-08,2024-12-08,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,f,1,1,0,0
