,Unnamed: 0,host_since,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,longitude,room_type,bathrooms,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
3373,3373,2023-02-15,95%,t,22,t,18.0346938,Entire home/apt,1.0,1.0,"$1,511.00",103,4,1125,6,61,2024-12-30,34,2023-10-28,4.95,4.92,5.0,4.84,f,3,0
3374,3374,2017-01-18,0%,f,1,t,17.978170439600945,Entire home/apt,,1.0,,365,1,365,19,33,2024-12-30,0,,,,,,f,1,0
3375,3375,2022-03-04,0%,f,1,t,18.11485,Entire home/apt,,2.0,,365,1,365,29,89,2024-12-30,0,,,,,,f,1,0
3376,3376,2016-02-25,100%,f,71,t,18.0660829,Entire home/apt,1.0,0.0,$571.00,365,5,365,11,59,2024-12-30,40,2023-09-29,4.13,4.42,4.54,3.94,f,38,0
3377,3377,2014-07-11,60%,f,3,t,18.00566,Entire home/apt,1.0,1.0,"$1,200.00",14,2,14,15,15,2024-12-30,11,2023-10-12,5.0,5.0,5.0,4.94,f,1,0
3378,3378,2023-09-16,100%,t,1,t,18.1204193,Private room,1.0,1.0,$450.00,30,3,1125,0,27,2024-12-30,23,2023-10-16,4.92,5.0,4.92,4.88,f,0,0
3379,3379,2010-07-22,,f,1,t,18.07723057244078,Entire home/apt,,1.0,,18,3,18,0,0,2024-12-30,2,2023-10-03,5.0,4.4,5.0,5.0,f,1,0
3380,3380,2022-07-06,,f,1,t,18.03513309997564,Entire home/apt,,1.0,,365,1,365,0,0,2024-12-30,1,2023-10-01,5.0,4.67,5.0,4.67,f,1,0
3381,3381,2015-05-19,,f,1,t,18.0907251,Entire home/apt,,3.0,,365,1,365,0,0,2024-12-30,0,,,,,,f,1,0
3382,3382,2021-06-23,11%,f,1,t,18.0582167,Entire home/apt,1.0,1.0,"$1,100.00",7,2,7,23,77,2024-12-30,0,2023-10-01,4.71,4.57,4.86,4.86,f,1,0
3383,3383,2021-06-08,,f,1,t,18.01791340112686,Private room,,,,365,2,365,0,0,2024-12-30,1,2023-09-27,4.79,4.86,4.93,4.86,f,0,0
