,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5039,5039,2024-12-30,2019-01-14,within an hour,100%,100%,f,1,1,t,t,59.31714,18.06303,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"$1,360.00",3,365,3,3,365,365,,0,0,4,125,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5040,5040,2024-12-30,2017-10-16,within a few hours,67%,0%,f,1,2,t,f,59.33341,18.0241,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$800.00,7,12,7,7,12,12,t,30,60,90,358,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5041,5041,2024-12-30,2024-02-23,within an hour,100%,100%,f,2,2,t,t,59.37205,17.83722,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$384.00,1,365,1,1,365,365,t,29,59,89,364,2024-12-30,1,1,1,2024-12-08,2024-12-08,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,f,1,1,0,0
5042,5042,2024-12-30,2018-10-25,within a few hours,100%,68%,f,2,2,t,t,59.30654633304388,18.03167931811219,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,$900.00,1,365,1,1,365,365,t,16,46,74,296,2024-12-30,4,4,2,2024-11-13,2024-12-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,1,1,0
5044,5044,2024-12-30,2014-06-11,within an hour,100%,88%,f,46,55,t,t,59.338451737089386,18.03296062308667,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,"$1,373.00",1,365,2,5,365,365,t,25,50,80,265,2024-12-30,12,12,8,2024-11-17,2024-12-20,4.67,4.75,4.67,4.58,4.42,4.75,4.83,,f,37,37,0,0
5045,5045,2024-12-30,2024-09-28,within an hour,100%,100%,f,2,3,t,t,59.33805049774499,18.04828303730381,Room in hotel,Private room,4,1.0,1 shared bath,1.0,4.0,$848.00,2,14,1,2,14,14,t,20,50,70,206,2024-12-30,1,1,1,2024-12-12,2024-12-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,2,0,2,0
5047,5047,2024-12-30,2024-11-06,within an hour,100%,50%,f,1,1,t,t,59.33632,17.98601,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,$450.00,2,365,2,2,365,365,t,28,58,88,363,2024-12-30,1,1,0,2024-11-11,2024-11-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0
5048,5048,2024-12-30,2024-09-28,within an hour,100%,100%,f,2,3,t,t,59.33805081558694,18.04573005993604,Room in hotel,Private room,3,1.0,1 shared bath,1.0,3.0,$746.00,2,14,1,2,14,14,t,20,49,68,198,2024-12-30,2,2,2,2024-12-05,2024-12-06,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,t,2,0,2,0
5050,5050,2024-12-30,2014-03-27,within a day,71%,65%,f,2,6,t,t,59.3013,18.00184,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$760.00,3,730,3,3,730,730,t,28,54,80,353,2024-12-30,0,0,0,,,,,,,,,,,f,2,2,0,0
5051,5051,2024-12-30,2016-06-21,within an hour,100%,95%,t,2,2,t,t,59.31566072253899,18.072200856709426,Private room in rental unit,Private room,2,0.5,Shared half-bath,1.0,1.0,$720.00,3,365,3,3,365,365,t,7,7,7,31,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
