,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4671,4671,2024-12-30,2024-03-29,within an hour,100%,100%,t,2,2,t,t,59.34316,18.05794,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"$1,786.00",2,365,1,2,365,365,t,27,32,32,32,2024-12-30,21,21,1,2024-07-29,2024-12-11,4.86,4.9,4.76,4.86,4.81,4.9,4.81,,t,1,1,0,0
4673,4673,2024-12-30,2024-02-24,,,0%,f,1,1,t,t,59.30246250270902,18.03263909806829,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4674,4674,2024-12-30,2021-03-26,within a day,100%,50%,f,1,1,t,t,59.3963366,17.9417473,Private room in rental unit,Private room,1,1.0,1 private bath,2.0,2.0,$200.00,60,365,60,60,365,365,t,0,14,14,227,2024-12-30,1,1,0,2024-07-16,2024-07-16,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,f,1,0,1,0
4677,4677,2024-12-30,2024-07-11,a few days or more,0%,14%,f,1,1,f,t,59.33849869140015,17.951200109181457,Private room in rental unit,Private room,1,0.5,Half-bath,1.0,1.0,$300.00,1,365,1,1,365,365,t,29,59,89,269,2024-12-30,1,1,0,2024-08-25,2024-08-25,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,f,1,0,1,0
4678,4678,2024-12-30,2023-08-27,within an hour,80%,100%,f,1,1,t,t,59.24566,18.06245,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$985.00,1,365,1,1,365,365,t,29,59,89,364,2024-12-30,6,6,0,2024-08-21,2024-10-28,4.17,4.5,4.0,4.83,4.5,4.67,4.33,,t,1,1,0,0
4679,4679,2024-12-30,2020-07-24,a few days or more,44%,0%,f,1,1,t,t,59.36225,17.88234,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$520.00,1,365,1,1,365,365,t,0,27,57,332,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4681,4681,2024-12-30,2022-01-25,,,60%,f,1,1,t,t,59.346964046438686,18.102022111415863,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,2.0,$620.00,7,365,3,7,365,365,t,29,50,80,80,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4684,4684,2024-12-30,2022-06-28,within an hour,100%,46%,f,1,1,t,t,59.31509748703641,18.08992233127356,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,4,14,4,4,14,14,t,0,0,0,0,2024-12-30,5,5,0,2024-07-19,2024-09-15,4.8,4.8,4.8,4.8,4.8,5.0,4.8,,f,1,1,0,0
4686,4686,2024-12-30,2024-03-15,within an hour,100%,92%,,2,2,t,t,59.29512,18.0843,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$957.00,1,365,1,1,365,365,t,0,11,24,24,2024-12-30,16,16,0,2024-07-20,2024-10-19,4.88,4.94,4.94,4.94,4.94,4.56,4.75,,f,1,1,0,0
4689,4689,2024-12-30,2023-09-06,within an hour,100%,98%,t,41,46,t,t,59.3456736,18.0458414,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"$2,134.00",3,110,1,3,1125,1125,t,25,55,85,356,2024-12-30,9,9,1,2024-07-28,2024-12-18,5.0,5.0,5.0,4.89,5.0,4.89,4.89,,t,39,39,0,0
4692,4692,2024-12-30,2024-07-16,within a day,100%,33%,f,1,1,f,t,59.27591,18.04705,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"$1,600.00",3,20,3,3,20,20,t,23,53,83,346,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4696,4696,2024-12-30,2021-03-01,within an hour,100%,98%,t,13,17,t,t,59.3365266,18.081271,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,797.00",3,109,1,3,109,109,t,5,12,42,42,2024-12-30,21,21,2,2024-07-29,2024-12-14,4.95,4.95,4.95,5.0,5.0,4.95,4.9,,f,13,13,0,0
4697,4697,2024-12-30,2024-07-16,within an hour,100%,95%,f,4,4,t,t,59.3321737,18.0797227,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,219.00",2,365,1,2,365,365,t,23,53,81,349,2024-12-30,18,18,2,2024-08-03,2024-12-17,4.5,4.56,4.22,4.78,4.89,4.94,4.5,,f,4,4,0,0
4698,4698,2024-12-30,2024-07-16,a few days or more,40%,0%,f,1,1,t,f,59.31929,18.05856,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"$1,600.00",3,363,3,3,363,363,t,28,54,84,84,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4699,4699,2024-12-30,2021-03-01,within an hour,100%,98%,t,13,17,t,t,59.3365266,18.081271,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,0.0,$978.00,2,110,1,7,110,110,t,25,55,85,85,2024-12-30,27,27,3,2024-07-20,2024-12-13,4.93,4.81,4.78,4.56,4.89,5.0,4.89,,t,13,13,0,0
4701,4701,2024-12-30,2024-07-17,a few days or more,43%,60%,f,1,1,t,t,59.33938181120904,18.098389650507364,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,1.0,"$1,300.00",4,30,4,4,30,30,t,26,56,86,86,2024-12-30,3,3,0,2024-08-16,2024-09-30,5.0,4.67,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
4702,4702,2024-12-30,2024-07-17,,,33%,f,1,1,f,t,59.33560051125214,17.986398451030254,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"$1,350.00",3,365,3,3,365,365,t,29,59,89,89,2024-12-30,1,1,0,2024-08-26,2024-08-26,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,f,1,1,0,0
4703,4703,2024-12-30,2024-07-12,within a day,100%,17%,f,1,2,t,t,59.25807,18.08615,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$880.00,1,90,1,90,90,90,,21,51,81,356,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4710,4710,2024-12-30,2021-07-03,,,,f,1,1,t,t,59.35408538963141,17.879206141398804,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,200.00",1,365,1,1,365,365,,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
