,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1947,1947,2024-12-30,2014-04-12,,,,f,1,1,t,f,59.39176,17.91572,Entire townhouse,Entire home/apt,6,,1.5 baths,3.0,,,4,28,4,4,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1949,1949,2024-12-30,2015-09-20,,,67%,f,1,1,t,t,59.3166,18.06109,Entire condo,Entire home/apt,5,,1 bath,3.0,,,5,25,5,5,25,25,t,0,0,0,0,2024-12-30,12,3,0,2022-01-04,2024-08-14,4.92,5.0,4.83,4.92,4.92,5.0,4.58,,f,1,1,0,0
1952,1952,2024-12-30,2021-10-05,,,46%,f,1,1,f,t,59.3205,18.05991,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,,2,365,2,2,365,365,t,0,0,0,0,2024-12-30,23,5,0,2022-07-17,2024-07-14,4.57,4.48,4.52,4.83,4.61,4.91,4.35,,f,1,1,0,0
1953,1953,2024-12-30,2012-04-23,within a day,80.0,33%,f,2,3,t,t,59.27348,18.11355,Entire home,Entire home/apt,5,1.5,1.5 baths,3.0,1.0,"$1,600.00",10,150,10,10,1125,1125,t,30,47,47,262,2024-12-30,1,1,0,2024-08-08,2024-08-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
1955,1955,2024-12-30,2018-10-30,within a day,100.0,50%,f,1,1,t,f,59.37185,17.88989,Entire townhouse,Entire home/apt,4,1.5,1.5 baths,3.0,4.0,"$1,900.00",2,6,2,2,6,6,t,29,59,89,364,2024-12-30,9,1,0,2021-10-21,2024-06-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
1956,1956,2024-12-30,2015-04-26,within a day,50.0,0%,f,1,1,t,f,59.3037,18.10912,Entire condo,Entire home/apt,5,,2 baths,3.0,,,30,1125,30,30,1125,1125,t,0,0,0,0,2024-12-30,1,0,0,2021-11-26,2021-11-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
1958,1958,2024-12-30,2015-07-09,,,,f,1,1,t,t,59.34859,18.0657,Entire rental unit,Entire home/apt,1,,1 bath,1.0,,,21,59,21,21,59,59,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,1,1,0,0
1959,1959,2024-12-30,2019-05-24,within an hour,100.0,75%,f,1,1,t,t,59.298191,18.086222,Private room in serviced apartment,Private room,1,1.5,1.5 shared baths,1.0,1.0,$750.00,1,7,1,1,1125,1125,t,0,0,0,120,2024-12-30,31,1,0,2021-12-07,2024-03-16,4.9,4.94,4.87,4.87,4.77,4.97,4.84,,f,1,0,1,0
1961,1961,2024-12-30,2021-10-17,,,,f,1,2,t,t,59.27817,18.01132,Entire condo,Entire home/apt,4,,1.5 baths,2.0,,,5,1125,5,5,1125,1125,t,0,0,0,0,2024-12-30,9,0,0,2023-06-17,2023-08-24,4.78,4.67,4.67,4.89,4.89,4.89,4.67,,t,1,1,0,0
1962,1962,2024-12-30,2019-04-15,,,,f,1,1,t,t,59.29169,17.9765,Entire rental unit,Entire home/apt,3,,1.5 baths,1.0,,,3,1125,3,3,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
