,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3404,3404,2024-12-30,2023-09-24,within a few hours,100.0,39%,f,1,1,f,f,59.3135486,18.078075,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,4.0,3429.0,1,365,1,1,365,365,t,5,32,33,149,2024-12-30,8,8,0,2024-05-18,2024-10-29,4.88,4.88,4.63,5.0,4.88,5.0,4.38,,f,1,1,0,0
3406,3406,2024-12-30,2014-05-30,within a few hours,100.0,56%,f,2,2,t,t,59.33847,18.06168,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,993.0,2,10,1,2,10,10,t,20,39,43,48,2024-12-30,24,24,3,2024-02-04,2024-12-23,5.0,4.96,4.96,4.79,5.0,4.92,5.0,,f,1,1,0,0
3408,3408,2024-12-30,2016-03-08,within a few hours,100.0,86%,f,2,3,t,t,59.33761,18.02655,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,,7,365,7,7,365,365,t,1,1,1,1,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
3409,3409,2024-12-30,2017-06-16,within an hour,100.0,88%,f,84,120,t,t,59.27208394403395,18.01867502082148,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,1094.0,1,365,2,5,365,365,t,26,56,86,197,2024-12-30,43,36,2,2023-10-08,2024-12-15,4.53,4.67,4.72,4.58,4.65,4.56,4.56,,f,43,43,0,0
3411,3411,2024-12-30,2020-08-25,within an hour,100.0,100%,f,6,8,t,t,59.36293989999999,17.8466735,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,570.0,1,1125,1,1,1125,1125,t,11,22,46,238,2024-12-30,21,19,0,2023-10-18,2024-11-27,4.62,4.71,4.71,4.76,4.9,4.48,4.81,,t,6,6,0,0
3415,3415,2024-12-30,2018-06-01,within an hour,100.0,100%,f,1,1,t,t,59.30014643385872,17.988411247141414,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,1.0,729.0,45,63,7,45,63,63,t,13,16,24,24,2024-12-30,2,1,0,2023-10-25,2024-10-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
3417,3417,2024-12-30,2019-06-25,within an hour,99.0,91%,f,102,110,t,t,59.33416,17.94717,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,748.0,1,90,1,3,90,365,t,0,0,0,130,2024-12-30,22,16,0,2023-10-22,2024-07-21,4.59,4.77,4.45,4.86,4.82,4.64,4.55,,f,69,69,0,0
3421,3421,2024-12-30,2013-04-25,within a few hours,100.0,50%,f,1,1,t,t,59.28565,18.05804,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,4.0,3500.0,1,6,1,1,6,6,t,29,59,88,363,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
3427,3427,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27622260719372,18.028689089567536,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,,30,182,30,30,150,150,t,0,0,0,0,2024-12-30,2,1,0,2023-11-23,2024-02-05,4.0,4.0,3.5,4.5,3.5,4.5,4.0,,t,11,11,0,0
3428,3428,2024-12-30,2017-06-16,within an hour,100.0,88%,f,84,120,t,t,59.2727,18.01818,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,476.0,1,365,3,5,365,365,t,0,12,42,153,2024-12-30,42,33,3,2023-10-13,2024-12-14,4.57,4.67,4.67,4.55,4.6,4.33,4.48,,f,43,43,0,0
3429,3429,2024-12-30,2021-04-07,within a day,100.0,91%,f,1,2,t,t,59.2661706,18.0835572,Entire home,Entire home/apt,8,2.0,2 baths,5.0,7.0,6743.0,2,1125,2,2,1125,1125,t,28,58,88,268,2024-12-30,6,6,0,2024-04-28,2024-09-23,5.0,5.0,5.0,5.0,5.0,4.83,5.0,,f,1,1,0,0
3430,3430,2024-12-30,2015-12-10,within an hour,97.0,89%,f,24,49,t,t,59.34677,18.03788,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,1,365,2,5,365,365,t,2,2,2,2,2024-12-30,18,8,0,2023-10-21,2024-09-14,4.67,4.72,4.5,4.39,4.44,4.78,4.72,,f,20,20,0,0
3431,3431,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27803,18.03054,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,712.0,30,182,30,30,160,160,t,0,28,58,238,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3432,3432,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27692,18.03078,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,560.0,30,182,30,30,160,160,t,0,7,7,132,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3433,3433,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27621874733988,18.030569867680764,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,555.0,30,182,30,30,160,160,t,27,30,59,183,2024-12-30,2,2,0,2024-06-02,2024-11-16,3.5,3.5,3.5,4.5,4.5,4.5,3.0,,t,11,11,0,0
3434,3434,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27621737366096,18.0295860216232,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,760.0,30,182,30,30,160,160,t,29,59,89,196,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3435,3435,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.277961769408535,18.03035029145458,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,472.0,30,182,30,30,160,160,t,27,30,30,140,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3438,3438,2024-12-30,2019-06-25,within an hour,99.0,91%,f,102,110,t,t,59.33417,17.94591,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,690.0,1,90,1,3,90,90,t,0,0,0,130,2024-12-30,11,8,0,2023-10-24,2024-07-01,4.64,4.64,4.73,5.0,5.0,4.91,4.82,,f,69,69,0,0
3439,3439,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.27664,18.03082,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,,30,182,30,30,160,160,t,29,59,89,210,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3440,3440,2024-12-30,2019-07-08,within an hour,96.0,94%,f,30,58,t,t,59.2780296519357,18.02908770000688,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,760.0,30,182,30,30,160,160,t,22,52,82,262,2024-12-30,0,0,0,,,,,,,,,,,t,11,11,0,0
3442,3442,2024-12-30,2017-06-16,within an hour,100.0,88%,f,84,120,t,t,59.27185219233531,18.02056005192356,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,1483.0,1,365,3,5,365,365,t,0,16,33,144,2024-12-30,44,37,0,2023-10-16,2024-11-12,4.89,4.91,4.86,4.89,4.89,4.77,4.84,,f,43,43,0,0
3444,3444,2024-12-30,2018-03-11,within an hour,100.0,99%,f,5,7,t,t,59.31829320968541,18.02469004803465,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,249.0,4,365,4,4,365,365,t,23,53,83,173,2024-12-30,22,19,0,2023-10-29,2024-11-29,4.68,4.68,4.59,4.59,4.77,4.95,4.77,,f,3,0,3,0
3447,3447,2024-12-30,2017-06-16,within an hour,100.0,88%,f,84,120,t,t,59.27359121964668,18.019894013668345,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,691.0,1,365,2,5,365,365,t,12,26,55,166,2024-12-30,37,32,2,2023-11-01,2024-12-07,4.65,4.76,4.59,4.68,4.73,4.65,4.59,,f,43,43,0,0
