,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
2786,2786,2024-12-30,2019-03-03,,,,f,1,1,t,f,59.37484596182652,17.822626711937353,Entire home,Entire home/apt,8,,2 baths,4.0,,,3,21,3,3,1125,1125,t,0,0,0,0,2024-12-30,3,0,0,2023-08-01,2023-08-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0
2792,2792,2024-12-30,2015-12-25,within a day,100.0,100%,f,1,1,t,f,59.26610902683279,18.134204082364903,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,3.0,1500.0,4,1125,4,4,1125,1125,t,0,8,22,98,2024-12-30,10,4,0,2023-06-26,2024-08-03,5.0,5.0,5.0,4.9,5.0,4.6,4.9,,f,1,1,0,0
2794,2794,2024-12-30,2022-08-25,within an hour,100.0,97%,t,7,7,t,t,59.3312024,18.0484416,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,2887.0,3,214,1,3,1125,1125,t,13,28,52,302,2024-12-30,81,42,6,2023-04-16,2024-12-26,4.75,4.68,4.83,4.98,4.89,4.91,4.69,,f,7,7,0,0
2803,2803,2024-12-30,2019-09-25,,,,f,1,2,t,f,59.279216662993136,18.06099135428667,Entire rental unit,Entire home/apt,5,,2 baths,3.0,,,3,365,3,3,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
2804,2804,2024-12-30,2021-05-23,within an hour,100.0,67%,f,2,2,t,t,59.31660909943427,18.0815673767212,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,2500.0,2,20,2,7,20,20,t,0,0,0,176,2024-12-30,3,2,0,2023-07-18,2024-07-24,5.0,5.0,4.33,5.0,5.0,5.0,4.67,,f,1,1,0,0
2812,2812,2024-12-30,2022-04-16,within a day,100.0,96%,t,2,2,t,t,59.32203,18.10055,Entire rental unit,Entire home/apt,6,,1 bath,4.0,,,5,30,5,5,30,30,t,0,0,0,0,2024-12-30,4,3,0,2023-08-09,2024-08-06,5.0,4.75,5.0,5.0,5.0,4.5,5.0,,f,1,1,0,0
2818,2818,2024-12-30,2016-05-16,within a day,100.0,0%,f,1,2,t,f,59.36212155515821,17.899867515731522,Entire home,Entire home/apt,8,3.0,3 baths,5.0,7.0,1750.0,5,17,5,5,1125,1125,t,0,0,0,31,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
2820,2820,2024-12-30,2020-02-03,,,100%,f,1,1,t,t,59.26710159661906,18.03435433655977,Entire home,Entire home/apt,5,,1.5 baths,4.0,,,5,14,5,5,14,14,t,4,4,4,4,2024-12-30,9,4,0,2023-07-10,2024-08-03,5.0,5.0,5.0,5.0,5.0,4.67,5.0,,f,1,1,0,0
2821,2821,2024-12-30,2014-04-01,within a few hours,100.0,83%,t,1,1,t,t,59.312619,18.062662,Entire rental unit,Entire home/apt,5,2.0,2 baths,4.0,4.0,4100.0,2,60,2,7,60,60,t,6,12,20,187,2024-12-30,20,11,0,2023-07-14,2024-07-30,5.0,4.95,5.0,5.0,5.0,4.9,4.85,,f,1,1,0,0
2831,2831,2024-12-30,2016-08-28,,,100%,f,1,2,t,f,59.25361219999999,18.1049849,Entire home,Entire home/apt,8,,2 baths,5.0,,,3,30,3,3,30,30,t,0,0,0,0,2024-12-30,7,2,0,2023-07-05,2024-07-25,4.57,4.43,4.86,4.86,4.86,4.71,4.14,,f,1,1,0,0
2837,2837,2024-12-30,2017-06-16,within an hour,100.0,88%,f,84,120,t,t,59.33854861836037,18.08277014237301,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,2.0,2.0,3309.0,1,365,2,5,365,365,t,12,35,65,262,2024-12-30,78,45,6,2023-05-21,2024-12-22,4.85,4.86,4.91,4.81,4.83,4.99,4.76,,f,43,43,0,0
2838,2838,2024-12-30,2013-05-15,within an hour,100.0,100%,f,1,1,t,t,59.31730437488542,17.967100507721774,Entire home,Entire home/apt,7,2.0,2 baths,4.0,4.0,3900.0,5,17,5,5,17,17,t,6,6,6,115,2024-12-30,2,1,0,2023-08-07,2024-08-01,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,f,1,1,0,0
2841,2841,2024-12-30,2023-04-26,,,100%,f,1,1,t,t,59.272580654549074,17.989862938989578,Entire home,Entire home/apt,5,,2 baths,4.0,,,10,365,10,10,1125,1125,t,0,0,0,0,2024-12-30,6,3,0,2023-06-28,2024-08-05,5.0,4.5,4.67,5.0,4.83,4.67,4.67,,t,1,1,0,0
2843,2843,2024-12-30,2015-06-16,,,,f,1,1,t,t,59.3905473033433,17.8201952435364,Entire home,Entire home/apt,5,,2 baths,3.0,,,7,40,7,7,40,40,t,0,0,0,0,2024-12-30,2,0,0,2023-06-11,2023-06-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2844,2844,2024-12-30,2020-01-09,within an hour,100.0,100%,f,5,8,t,t,59.32405,18.06936,Entire rental unit,Entire home/apt,8,2.0,2 baths,4.0,5.0,3828.0,2,365,1,2,365,365,t,6,18,37,270,2024-12-30,125,68,2,2023-05-06,2024-12-11,4.62,4.71,4.77,4.78,4.59,4.9,4.62,,f,5,5,0,0
2845,2845,2024-12-30,2023-04-28,,,80%,f,2,2,t,t,59.2766002,17.9924125,Entire home,Entire home/apt,6,2.5,2.5 baths,4.0,3.0,2700.0,4,25,4,4,25,25,t,0,0,0,99,2024-12-30,9,6,0,2023-07-29,2024-08-08,4.89,4.67,4.78,5.0,4.78,5.0,4.78,,f,1,1,0,0
2846,2846,2024-12-30,2023-01-19,within a few hours,100.0,95%,t,4,4,t,t,59.325828775461865,18.07482024995989,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,3500.0,2,1125,2,2,1125,1125,t,23,53,75,319,2024-12-30,110,59,1,2023-05-07,2024-12-23,4.95,4.9,4.94,4.96,4.97,4.97,4.78,,f,3,3,0,0
2847,2847,2024-12-30,2016-04-30,,,50%,f,1,1,t,t,59.3755018,17.8207308,Entire home,Entire home/apt,5,3.0,3 baths,3.0,3.0,1500.0,5,12,5,5,12,12,t,23,53,83,173,2024-12-30,3,1,0,2023-07-02,2024-05-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2849,2849,2024-12-30,2016-08-14,,,63%,f,1,3,t,t,59.2829844,18.0771716,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,5.0,5000.0,4,365,4,4,365,365,t,30,60,90,365,2024-12-30,3,3,0,2024-05-27,2024-08-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2852,2852,2024-12-30,2016-01-01,within a few hours,100.0,83%,f,1,1,t,t,59.37666151681792,17.88614037510137,Entire home,Entire home/apt,6,3.0,3 baths,3.0,3.0,2100.0,3,1125,3,3,1125,1125,t,24,54,84,174,2024-12-30,8,5,0,2023-06-30,2024-06-09,4.63,4.63,4.5,4.75,4.88,4.5,4.63,,f,1,1,0,0
2855,2855,2024-12-30,2013-07-06,within a few hours,100.0,50%,f,2,2,t,f,59.2849344,17.9773396,Entire home,Entire home/apt,6,,2 baths,3.0,,,5,365,5,5,365,365,t,0,0,0,0,2024-12-30,5,3,0,2023-07-17,2024-11-03,5.0,5.0,4.8,5.0,5.0,4.8,5.0,,f,1,1,0,0
2856,2856,2024-12-30,2019-07-16,within an hour,100.0,99%,t,4,9,t,t,59.3439517,18.057352,Entire rental unit,Entire home/apt,5,2.0,2 baths,3.0,3.0,3179.0,3,120,1,3,1125,1125,t,11,35,60,323,2024-12-30,82,50,4,2023-05-08,2024-12-27,4.76,4.76,4.87,4.72,4.94,4.95,4.6,,f,4,4,0,0
2861,2861,2024-12-30,2023-05-02,within a day,67.0,33%,f,1,1,f,t,59.33020523743842,18.03773384232788,Entire rental unit,Entire home/apt,5,,2 baths,3.0,,,2,40,2,2,40,40,t,0,0,0,0,2024-12-30,8,8,0,2024-04-25,2024-09-14,4.75,4.38,4.75,4.63,4.63,4.75,4.25,,f,1,1,0,0
2863,2863,2024-12-30,2016-02-21,,,100%,f,2,2,t,t,59.27574,18.14525,Entire home,Entire home/apt,6,,1.5 baths,4.0,,,4,365,4,4,365,365,t,0,0,0,0,2024-12-30,3,1,0,2023-07-18,2024-07-28,4.67,4.33,4.0,5.0,4.67,4.33,4.67,,f,1,1,0,0
2871,2871,2024-12-30,2020-01-11,within a day,100.0,100%,f,2,2,t,t,59.26924559999999,18.0228001,Entire villa,Entire home/apt,8,3.0,3 baths,5.0,6.0,1600.0,3,30,2,5,30,30,t,0,0,0,84,2024-12-30,16,5,0,2023-07-01,2024-09-23,5.0,5.0,4.81,5.0,5.0,4.69,4.94,,f,1,1,0,0
2878,2878,2024-12-30,2016-06-06,,,,f,1,4,t,t,59.3050025,18.0308644,Entire rental unit,Entire home/apt,5,,2 baths,3.0,,,2,7,2,2,7,7,t,0,0,0,0,2024-12-30,4,0,0,2023-07-01,2023-07-30,4.75,4.25,4.75,4.75,5.0,4.25,4.5,,t,1,1,0,0
2883,2883,2024-12-30,2015-10-05,,,0%,f,1,1,t,t,59.23378669320303,18.09320946931152,Entire home,Entire home/apt,5,,3 baths,3.0,,,3,20,3,3,20,20,t,0,0,0,0,2024-12-30,1,0,0,2023-07-17,2023-07-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2890,2890,2024-12-30,2021-08-01,,,33%,f,1,1,t,f,59.2777582,18.051997,Entire home,Entire home/apt,6,1.0,1 bath,4.0,4.0,3998.0,5,365,5,5,365,365,t,30,60,90,365,2024-12-30,3,1,0,2023-07-29,2024-08-06,4.67,5.0,4.67,5.0,4.67,4.33,4.67,,f,1,1,0,0
2893,2893,2024-12-30,2018-08-01,,,100%,t,1,1,t,t,59.33787,18.02349,Entire rental unit,Entire home/apt,5,,2 baths,4.0,,,3,30,4,4,30,30,t,2,2,5,5,2024-12-30,17,7,0,2023-06-23,2024-08-26,4.88,4.94,4.88,5.0,5.0,4.88,4.76,,f,1,1,0,0
2896,2896,2024-12-30,2014-09-25,,,69%,f,1,1,t,t,59.314963175591984,18.06482020765543,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,2.0,2200.0,5,28,5,5,28,28,t,4,4,4,13,2024-12-30,11,7,0,2023-07-09,2024-08-12,5.0,4.73,4.82,4.91,4.91,5.0,4.73,,f,1,1,0,0
